Date,Hour,X Position,Y Position
08/02/18,17:41:16,248.5,52.3,
08/02/18,17:41:16,244.8,51.0,
08/02/18,17:41:16,247.5,53.0,
08/02/18,17:41:16,253.7,44.8,
08/02/18,17:41:16,241.7,40.2,
08/02/18,17:41:17,244.7,54.0,
08/02/18,17:41:17,233.4,64.6,
08/02/18,17:41:17,240.1,42.4,
08/02/18,17:41:17,246.7,54.0,
08/02/18,17:41:17,245.0,43.0,
08/02/18,17:41:17,261.0,61.6,
08/02/18,17:41:17,233.0,68.7,
08/02/18,17:41:17,244.8,41.3,
08/02/18,17:41:17,246.1,55.8,
08/02/18,17:41:17,245.9,56.8,
08/02/18,17:41:17,247.3,56.9,
08/02/18,17:41:17,252.3,50.4,
08/02/18,17:41:17,241.5,43.0,
08/02/18,17:41:18,232.7,71.7,
08/02/18,17:41:18,243.3,42.6,
08/02/18,17:41:18,255.6,51.4,
08/02/18,17:41:18,246.7,60.5,
08/02/18,17:41:18,231.5,73.5,
08/02/18,17:41:18,246.7,60.8,
08/02/18,17:41:18,231.1,73.9,
08/02/18,17:41:18,248.2,58.2,
08/02/18,17:41:18,241.9,47.8,
08/02/18,17:41:18,248.5,61.8,
08/02/18,17:41:19,249.3,60.0,
08/02/18,17:41:19,249.3,61.8,
08/02/18,17:41:19,243.2,46.8,
08/02/18,17:41:19,248.9,63.1,
08/02/18,17:41:19,249.5,65.7,
08/02/18,17:41:19,249.0,65.4,
08/02/18,17:41:19,250.4,67.9,
08/02/18,17:41:19,250.8,68.1,
08/02/18,17:41:19,252.9,70.3,
08/02/18,17:41:19,250.2,68.1,
08/02/18,17:41:19,244.2,51.6,
08/02/18,17:41:20,250.6,66.7,
08/02/18,17:41:20,259.0,58.0,
08/02/18,17:41:20,252.5,71.9,
08/02/18,17:41:20,245.2,52.1,
08/02/18,17:41:20,259.7,62.7,
08/02/18,17:41:20,245.4,54.8,
08/02/18,17:41:20,242.6,52.6,
08/02/18,17:41:20,244.7,55.4,
08/02/18,17:41:20,250.2,72.1,
08/02/18,17:41:20,248.4,72.5,
08/02/18,17:41:20,251.2,72.4,
08/02/18,17:41:21,250.3,73.6,
08/02/18,17:41:21,234.4,91.6,
08/02/18,17:41:21,258.6,62.7,
08/02/18,17:41:21,244.7,56.2,
08/02/18,17:41:21,241.9,56.5,
08/02/18,17:41:21,262.7,80.0,
08/02/18,17:41:21,249.5,72.1,
08/02/18,17:41:21,249.1,74.8,
08/02/18,17:41:21,248.1,73.1,
08/02/18,17:41:21,248.9,73.5,
08/02/18,17:41:21,258.6,79.9,
08/02/18,17:41:21,248.8,72.3,
08/02/18,17:41:22,249.0,73.6,
08/02/18,17:41:22,243.3,60.3,
08/02/18,17:41:22,249.3,74.0,
08/02/18,17:41:22,250.3,75.2,
08/02/18,17:41:22,241.0,57.8,
08/02/18,17:41:22,250.0,73.4,
08/02/18,17:41:22,260.4,65.2,
08/02/18,17:41:22,248.3,75.6,
08/02/18,17:41:22,249.3,73.3,
08/02/18,17:41:22,248.7,72.8,
08/02/18,17:41:22,241.7,58.3,
08/02/18,17:41:22,243.8,59.4,
08/02/18,17:41:23,248.3,78.1,
08/02/18,17:41:23,248.1,77.1,
08/02/18,17:41:23,248.1,77.8,
08/02/18,17:41:23,233.5,94.9,
08/02/18,17:41:23,248.0,75.7,
08/02/18,17:41:23,232.6,96.1,
08/02/18,17:41:23,246.5,77.2,
08/02/18,17:41:23,248.0,78.4,
08/02/18,17:41:23,239.8,57.3,
08/02/18,17:41:23,231.6,94.6,
08/02/18,17:41:23,241.0,61.5,
08/02/18,17:41:23,246.6,77.2,
08/02/18,17:41:24,241.0,61.0,
08/02/18,17:41:24,246.9,78.8,
08/02/18,17:41:24,255.8,68.1,
08/02/18,17:41:24,248.3,79.1,
08/02/18,17:41:24,247.7,79.3,
08/02/18,17:41:24,256.1,70.0,
08/02/18,17:41:24,255.1,69.5,
08/02/18,17:41:24,246.7,80.7,
08/02/18,17:41:24,248.7,81.1,
08/02/18,17:41:24,247.7,81.9,
08/02/18,17:41:25,247.6,80.0,
08/02/18,17:41:25,249.1,82.3,
08/02/18,17:41:25,258.0,72.9,
08/02/18,17:41:25,248.0,83.3,
08/02/18,17:41:25,241.9,67.8,
08/02/18,17:41:25,247.4,83.8,
08/02/18,17:41:25,240.8,66.1,
08/02/18,17:41:25,249.8,84.8,
08/02/18,17:41:25,247.0,72.3,
08/02/18,17:41:25,262.0,72.7,
08/02/18,17:41:25,251.0,82.6,
08/02/18,17:41:25,250.9,83.6,
08/02/18,17:41:26,250.5,83.6,
08/02/18,17:41:26,247.8,71.6,
08/02/18,17:41:26,251.4,82.9,
08/02/18,17:41:26,245.4,70.4,
08/02/18,17:41:26,261.5,74.3,
08/02/18,17:41:26,250.4,83.9,
08/02/18,17:41:26,239.4,104.7,
08/02/18,17:41:26,250.3,85.2,
08/02/18,17:41:26,245.6,69.2,
08/02/18,17:41:26,246.0,71.4,
08/02/18,17:41:26,247.0,69.9,
08/02/18,17:41:26,251.8,84.4,
08/02/18,17:41:27,246.1,74.2,
08/02/18,17:41:27,238.4,104.6,
08/02/18,17:41:27,251.5,83.2,
08/02/18,17:41:27,251.1,86.1,
08/02/18,17:41:27,250.9,84.8,
08/02/18,17:41:27,250.9,84.8,
08/02/18,17:41:27,249.8,83.6,
08/02/18,17:41:27,250.0,83.3,
08/02/18,17:41:27,237.8,102.5,
08/02/18,17:41:27,245.6,72.9,
08/02/18,17:41:27,250.2,83.7,
08/02/18,17:41:27,250.0,85.5,
08/02/18,17:41:28,246.6,74.9,
