Date,Hour,X Position,Y Position
08/09/18,09:28:33,231.8,28.5,
08/09/18,09:28:33,240.1,31.3,
08/09/18,09:28:33,231.2,27.8,
08/09/18,09:28:33,236.5,29.5,
08/09/18,09:28:33,231.7,27.0,
08/09/18,09:28:33,230.1,28.1,
08/09/18,09:28:33,230.4,28.3,
08/09/18,09:28:33,231.2,27.5,
08/09/18,09:28:33,241.3,28.3,
08/09/18,09:28:33,232.7,28.6,
08/09/18,09:28:33,232.2,24.6,
08/09/18,09:28:33,233.5,23.9,
08/09/18,09:28:34,222.4,27.7,
08/09/18,09:28:34,231.5,27.1,
08/09/18,09:28:34,230.4,26.5,
08/09/18,09:28:34,241.0,27.3,
08/09/18,09:28:34,233.7,22.5,
08/09/18,09:28:34,234.0,25.3,
08/09/18,09:28:34,231.9,27.3,
08/09/18,09:28:34,233.8,27.5,
08/09/18,09:28:34,235.2,26.4,
08/09/18,09:28:34,234.8,27.4,
08/09/18,09:28:34,234.3,30.0,
08/09/18,09:28:34,234.6,27.2,
08/09/18,09:28:34,236.2,27.1,
08/09/18,09:28:34,237.4,24.8,
08/09/18,09:28:34,236.2,27.8,
08/09/18,09:28:35,237.8,25.1,
08/09/18,09:28:35,236.4,24.4,
08/09/18,09:28:35,241.1,23.3,
08/09/18,09:28:35,239.2,27.1,
08/09/18,09:28:35,242.5,27.5,
08/09/18,09:28:35,237.8,25.8,
08/09/18,09:28:35,239.0,28.2,
08/09/18,09:28:35,239.4,29.3,
08/09/18,09:28:35,238.2,25.6,
08/09/18,09:28:35,238.9,27.1,
08/09/18,09:28:35,241.9,25.0,
08/09/18,09:28:35,239.7,27.1,
08/09/18,09:28:35,248.6,26.6,
08/09/18,09:28:35,240.2,27.1,
08/09/18,09:28:35,242.3,24.7,
08/09/18,09:28:35,243.9,28.5,
08/09/18,09:28:36,242.5,26.5,
08/09/18,09:28:36,243.1,24.6,
08/09/18,09:28:36,240.5,25.8,
08/09/18,09:28:36,242.9,25.4,
08/09/18,09:28:36,242.8,24.3,
